Chem ID,SMILES,CAS,CID,InChIKey,logBCF
49,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,101-02-0,7540,HVLLSGMXQDNUAL-UHFFFAOYSA-N,2.39
50,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],606-20-2,11813,XTRDKALNCIHHNI-UHFFFAOYSA-N,1.34
51,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,99-65-0,7452,WDCYWAQPCXBPJA-UHFFFAOYSA-N,0.77
52,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,100-25-4,7492,FYFDQJRXFWGIBS-UHFFFAOYSA-N,-0.4
53,Clc1ccc2ccccc2c1,91-58-7,7056,CGYGETOMCSJHJU-UHFFFAOYSA-N,3.63
54,CCCCCCCCCCCCCCCC[n+]1ccccc1,7773-52-6,2683,NEUSVAOJNUQRTM-UHFFFAOYSA-N,2.18
55,C=C(CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1,13464-24-9,83494,MZLYLGGRVAFGBY-UHFFFAOYSA-N,1.59
56,Clc1ccccc1-c1ccccc1,2051-60-7,249266,LAXBNTIAOJWAOP-UHFFFAOYSA-N,5.19
57,CC(Br)(CBr)COc1c(Br)cc(Br)cc1Br,36065-30-2,118274,WNMLTOIDDCEBNY-UHFFFAOYSA-N,4.31
58,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,732-26-3,12902,PFEFOYRSMXVNEL-UHFFFAOYSA-N,4.19
59,Clc1ccccc1-c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,41411-61-4,91635,RUEIBQJFGMERJD-UHFFFAOYSA-N,3.92
60,CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4130-42-1,20087,BVUXDWXKPROUDO-UHFFFAOYSA-N,3.59
61,Brc1cc(Br)c(Br)c(Oc2ccc(Br)c(Br)c2Br)c1,446254-88-2,22833472,YURCHLXPAGSJHU-UHFFFAOYSA-N,3.12
62,ClC1C(Br)C(Br)C(Br)C(Br)C1Br,87-84-3,6907,UZOSVZSBPTTWIG-UHFFFAOYSA-N,2.49
63,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,79-94-7,6618,VEORPZCZECFIRK-UHFFFAOYSA-N,2.5
64,CCCCCCCCCc1ccccc1O,136-83-4,67296,SNQQPOLDUKLAAF-UHFFFAOYSA-N,1.97
65,CC=C1CC2C=CC1C2,16219-75-3,27756,OJOWICOBYCXEKR-UHFFFAOYSA-N,2.26
66,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,70-30-4,3598,ACGUYXCXAPNIKK-UHFFFAOYSA-N,2.12
67,O=[N+]([O-])c1ccc(Cl)cc1C(F)(F)F,118-83-2,67052,CFPIGEXZPWTNOR-UHFFFAOYSA-N,2.08
68,Cc1ccc(S(=O)(=O)Oc2ccc(N=Nc3ccc(-c4ccc(NN=C5C(=O)C=Cc6cc(S(=O)(=O)O)cc(S(=O)(=O)O)c65)c(C)c4)cc3C)cc2)cc1,25317-45-7,22961,SIGHAVOYMKYMPO-UHFFFAOYSA-N,1.88
69,CN(C)c1ccc([C+](c2ccccc2)c2ccc(N(C)C)cc2)cc1,10309-95-2,11295,VFCNQNZNPKRXIT-UHFFFAOYSA-N,1.88
70,Cc1ccc(N)cc1N,95-80-7,7261,VOZKAJLKRJDJLL-UHFFFAOYSA-N,1.39
71,N#CCCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1,67923-43-7,106138,MUERWWKQVXXPML-UHFFFAOYSA-N,1.55
72,Nc1cccc(O)c1,591-27-5,11568,CWLKGDAVCFYWJK-UHFFFAOYSA-N,1.22
73,O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,5124-25-4,21201,BBFRYSKTTHYWQZ-UHFFFAOYSA-N,1.55
74,CCOc1ccc(NC(C)=O)cc1,62-44-2,4754,CPJSUEIXXCENMM-UHFFFAOYSA-N,1.15
75,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccccc5)c(O)c4c3N)c(C)c2)ccc1N=Nc1ccc(N)cc1N,56532-27-5,135853617,BKYPURRMPMHCEO-UHFFFAOYSA-N,1.34
76,Oc1c(Cl)cccc1Cl,87-65-0,6899,HOLHYSJJBXSLMV-UHFFFAOYSA-N,1.24
77,Clc1ccccn1,109-09-1,7977,OKDGRDCXVWSXDC-UHFFFAOYSA-N,1.03
78,BrC(Br)c1ccccc1OCC1CO1,30171-80-3,3035339,RUBIQRSGTVJYHR-UHFFFAOYSA-N,0.94
79,Cc1ccccc1N=Nc1ccc(NN=C2C(=O)C=Cc3ccccc32)c(C)c1,85-83-6,62330,RCTGMCJBQGBLKT-UHFFFAOYSA-N,0.9
80,CCCCCCCCc1ccccc1Nc1ccccc1CCCCCCCC,52033-45-1,13685878,FOUNRKRNEDRUPL-UHFFFAOYSA-N,1.13
81,Cc1ccc(O)c([N+](=O)[O-])c1,119-33-5,8391,SYDNSSSQVSOXTN-UHFFFAOYSA-N,1.12
82,O=C1c2c(O)ccc(Nc3ccccc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,20241-76-3,5462989,DYALWCKAJBVSBZ-UHFFFAOYSA-N,1.64
83,S=c1[nH]c2ccccc2s1,149-30-4,697993,YXIWHUQXZSMYRE-UHFFFAOYSA-N,0.65
84,Nc1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2cccc(O)c12,82-47-3,65740,ZFRBZRZEKIOGQI-UHFFFAOYSA-N,1.06
85,O=C(O)c1cccc([N+](=O)[O-])c1,121-92-6,8497,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,0.69
86,Nc1ccc2ccccc2c1S(=O)(=O)O,81-16-3,6670,GWIAAIUASRVOIA-UHFFFAOYSA-N,0.62
87,CCCCCCCCCCSSCCCCCCCCCC,10496-18-1,139170,IDJPKRIELSFBPE-UHFFFAOYSA-N,1.15
88,Cc1ccsc1,616-44-4,12024,QENGPZGAWFQWCZ-UHFFFAOYSA-N,0.67
89,NCc1cccc(CN)c1,1477-55-0,15133,FDLQZKYLHJJBHD-UHFFFAOYSA-N,0.1
90,CCN(CC)C(=O)c1cccc(C)c1,134-62-3,4284,MMOXZBCLCQITDF-UHFFFAOYSA-N,0.34
91,CC1CCC(C(=O)O)C(C(=O)O)C1,57567-84-7,93719,YWVFNWVZBAWOOY-UHFFFAOYSA-N,0.38
92,O=C(O)C1CCCCC1C(=O)O,1687-30-5,15522,QSAWQNUELGIYBC-UHFFFAOYSA-N,0.44
93,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,98-47-5,7387,ONMOULMPIIOVTQ-UHFFFAOYSA-N,0.58
94,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2764-72-9,6795,SYJFEGQWDCRVNX-UHFFFAOYSA-N,0.46
95,O=S(=O)(O)c1ccc(O)c2ccccc12,84-87-7,6791,HGWQOFDAUWCQDA-UHFFFAOYSA-N,0.76
96,Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)O)cc3)c(O)c12,NA,135442968,OTKRGWXWWWNPKU-UHFFFAOYSA-N,0.34
97,O=C(O)c1ccccc1Cl,118-91-2,8374,IKCLCGXPQILATA-UHFFFAOYSA-N,0.59
98,Nc1ccc(S(=O)(=O)O)c2ccccc12,84-86-6,6790,NRZRRZAVMCAKEP-UHFFFAOYSA-N,0.84
99,CC1CCCC(C)N1,504-03-0,68843,SDGKUVSVPIIUCF-UHFFFAOYSA-N,0.26
100,CN(C)P(=O)(N(C)C)N(C)C,680-31-9,12679,GNOIPBMMFNIUFM-UHFFFAOYSA-N,-0.3
101,OCCN(CCO)CCO,102-71-6,7618,GSEJCLTVZPLZKY-UHFFFAOYSA-N,0.16
102,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,603-11-2,69043,KFIRODWJCYBBHY-UHFFFAOYSA-N,0.29
103,Cc1ccc(N)c(S(=O)(=O)O)c1,88-44-8,6934,LTPSRQRIPCVMKQ-UHFFFAOYSA-N,0.19
104,Nc1nc(N)nc(N)n1,108-78-1,7955,JDSHMPZPIAZGSV-UHFFFAOYSA-N,0.22
105,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,4685-14-7,15939,INFDPOAKFNIJBF-UHFFFAOYSA-N,-0.12
106,N#CNC(=N)N,461-58-5,10005,QGBSISYHAICWAH-UHFFFAOYSA-N,0.02
107,NC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O,56113-42-9,273072,VLHPTNVVTJTDHN-UHFFFAOYSA-N,0.38
108,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,6746-42-5,2900,YPHMISFOHDHNIV-UHFFFAOYSA-N,0.45
109,O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,34175-08-1,16014,SXSWSYRFTJDJTA-UHFFFAOYSA-N,-0.29
110,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,115-28-6,8266,DJKGDNKYTKCJKD-UHFFFAOYSA-N,-0.08
111,Nc1cccnc1,462-08-8,10009,CUYKNJBYIJFRCU-UHFFFAOYSA-N,-0.16
112,C[N+](C)(C)Cc1ccccc1,14800-24-9,5964,YOUGRGFIHBUKRS-UHFFFAOYSA-N,-0.41
113,NC(N)=S,62-56-6,2723790,UMGDCJDMYOKAJW-UHFFFAOYSA-N,-0.16
114,O=C(O)C(O)(c1ccccc1)c1ccccc1,76-93-7,6463,UKXSKSHDVLQNKG-UHFFFAOYSA-N,-0.14
115,Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,1987/2/5,6868,KYARBIJYVGJZLB-UHFFFAOYSA-N,0.21
116,O=C(O)C1CC=CCC1C(=O)O,88-98-2,16823,ILUAAIDVFMVTAU-UHFFFAOYSA-N,-0.01
117,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,839-90-7,13286,BPXVHIRIPLPOPT-UHFFFAOYSA-N,-0.21
118,O=c1[nH]c(=O)[nH]c(=O)[nH]1,108-80-5,7956,ZFSLODLOARCGLH-UHFFFAOYSA-N,-0.83
119,Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,123251-96-7,57483459,PEIQLVWMYVLUAU-UHFFFAOYSA-N,-0.34
120,O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1,118-32-1,67041,DOBIZWYVJFIYOV-UHFFFAOYSA-N,-0.17
121,CC(O)CN(CC(C)O)CC(C)O,122-20-3,24730,SLINHMUFWFWBMU-UHFFFAOYSA-N,-0.7
122,Clc1ccc(Oc2ccccc2)c(Cl)c1,51892-26-3,92339,KXIPYLZZJZMMPD-UHFFFAOYSA-N,3.97
123,ClC1=C(Cl)C2(Cl)C(Cl)CC1(Cl)C2(Cl)Cl,2440-02-0,98482,FCMVPUGRXPEIQX-UHFFFAOYSA-N,4.05
124,ClC1=C(Cl)C2(Cl)CC1(Cl)C(Cl)=C2Cl,28680-44-6,3036943,ZKRSTHSWOFIHMZ-UHFFFAOYSA-N,3.81
125,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,119168-77-3,86354,ZZYSLNWGKKDOML-UHFFFAOYSA-N,1.13
126,CCCN(CCC)C(=O)SCC,759-94-4,12968,GUVLYNGULCJVDO-UHFFFAOYSA-N,1.78
127,CCCCCCCCSCc1cc(C)c(O)c(CSCCCCCCCC)c1,110553-27-0,113646,GAODDBNJCKQQDY-UHFFFAOYSA-N,1.7
128,COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,132182-92-4,14689855,QKAGYSDHEJITFV-UHFFFAOYSA-N,3.41
129,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,80793-17-5,2776163,SKRWRXWNQFQGRU-UHFFFAOYSA-N,3.41
130,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,981-40-8,70425,ULGAVXUJJBOWOD-UHFFFAOYSA-N,3.21
131,CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,870778-34-0,71405907,TZMQCOROQZMJIS-UHFFFAOYSA-N,3.13
132,C=C(C)C1CC2C=CC1C2,13234-21-4,524207,DMGCMUYMJFRQSK-UHFFFAOYSA-N,2.98
133,C=CC1CCC(C2CCC(CCC)CC2)CC1,116020-44-1,12097469,KHDBEDDPFRHGCN-UHFFFAOYSA-N,2.89
134,O=C(OC1CCCCC1)c1ccccc1O,25485-88-5,101330,NUQDJSMHGCTKNL-UHFFFAOYSA-N,2.88
135,CCCC1CCC(c2ccc(I)cc2)CC1,111158-11-3,14250878,QBYHVVBZXPJPKK-UHFFFAOYSA-N,2.83
136,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1-c1ccccc1,132-29-6,67234,QARIOUOTENZTDH-UHFFFAOYSA-N,2.82
137,CCOCOC1CCCCCCCCCCC1,58567-11-6,94111,VQNUNMBDOKEZHS-UHFFFAOYSA-N,2.74
138,CCOc1ccc(Br)c(F)c1F,156573-09-0,26985491,OJZVBJOHBGYINN-UHFFFAOYSA-N,2.69
139,Cc1cc(-c2cc(C)c(O)c(C)c2C)c(C)c(C)c1O,19956-76-4,688288,IOJCFCLZQBXCIQ-UHFFFAOYSA-N,2.65
140,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,25291-17-2,91384,FYQFWFHDPNXORA-UHFFFAOYSA-N,2.58
141,Cn1cc(C(O)=Nc2cccc3c2C2CCC3C2=C(Cl)Cl)c(C(F)F)n1,1072957-71-1,53491464,CCCGEKHKTPTUHJ-UHFFFAOYSA-N,2.52
142,Cc1ccccc1Oc1ccccc1C,4731-34-4,78462,CYXMOAZSOPXQOD-UHFFFAOYSA-N,2.52
143,N#CC(=C1CCCCC1)c1ccccc1,10461-98-0,66327,ZHOOOLQOWQVYOE-UHFFFAOYSA-N,2.5
144,O=C1C(c2ccc3cc(S(=O)(=O)O)cc(N4C(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c5C4=O)c3n2)=C(O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,NA,136622495,CROVGQLQGQTLEN-UHFFFAOYSA-N,2.48
145,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],77501-63-4,62276,CONWAEURSVPLRM-UHFFFAOYSA-N,2.48
146,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl,29091-09-6,94398,DPQYRXNRGNLPFC-UHFFFAOYSA-N,2.46
147,CCN(CC)C(=S)SSC(=S)N(CC)CC,97-77-8,3117,AUZONCFQVSMFAP-UHFFFAOYSA-N,2.35
148,c1ccc2c(OCC3CO3)c3ccccc3c(OCC3CO3)c2c1,NA,15390088,HQTGKBNXVCVDOY-UHFFFAOYSA-N,2.29
149,CC(=O)OC1CCCCC1C(C)(C)C,88-41-5,62334,FINOAUDUYKVGDS-UHFFFAOYSA-N,2.28
150,CC(S)CC(=O)OCC(COC(=O)CC(C)S)(COC(=O)CC(C)S)COC(=O)CC(C)S,31775-89-0,54576326,VTLHIRNKQSFSJS-UHFFFAOYSA-N,2.23
151,FC(F)(F)c1ccc(Cl)cc1,98-56-6,7394,QULYNCCPRWKEMF-UHFFFAOYSA-N,2.21
152,CCCc1ccc(C2OC(C(O)CO)C3OC(c4ccc(CCC)cc4)OC(CCC)C3O2)cc1,882073-43-0,58995446,PIYNPBVOTLQBTC-UHFFFAOYSA-N,2.18
153,CC=CC(=O)C1C(C)C=CCC1(C)C,57378-68-4,42296,XEJGJTYRUWUFFD-UHFFFAOYSA-N,2.14
154,CC(C)C1CCC(C)(c2ccc(O)cc2)CC1c1ccc(O)cc1,163748-41-2,11244239,IFXCFXBIEFACDX-UHFFFAOYSA-N,2.12
155,C=CC1CCC(C2CCC(c3ccc(C)cc3)CC2)CC1,155041-85-3,20580010,BCUMFFLWJNKNOU-UHFFFAOYSA-N,2.08
156,CCCCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,124729-02-8,17884194,RFVOKVIZOOXEPB-UHFFFAOYSA-N,2.07
157,CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,33704-61-9,92292,MIZGSAALSYARKU-UHFFFAOYSA-N,2.02
158,CCCCCCCCCC[n+]1cccc(COCCCCOCc2ccc[n+](CCCCCCCCCC)c2)c1,NA,11714622,HWJUQYXDQBOQHL-UHFFFAOYSA-N,2
159,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,119446-68-3,86173,BQYJATMQXGBDHF-UHFFFAOYSA-N,2.15
160,Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,731-27-1,12898,HYVWIQDYBVKITD-UHFFFAOYSA-N,1.91
161,CCCc1ccc(-c2ccc(-c3ccc(CC)cc3)cc2F)cc1,95759-44-7,1715558,MBGFTFFIFLHYQU-UHFFFAOYSA-N,1.93
162,O=C(c1ccccc1)c1cc(Cl)ccc1Cl,16611-67-9,458188,FAVKIHMGRWRACA-UHFFFAOYSA-N,1.89
163,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1980/7/9,6625,GPAPPPVRLPGFEQ-UHFFFAOYSA-N,1.89
164,CCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,174350-05-1,19103501,BOAHGIPRRKDVQY-UHFFFAOYSA-N,1.87
165,C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,701909-41-3,59297309,CVMPVWSYSNATQO-UHFFFAOYSA-N,1.87
166,C1CC[N+]2(C1)CCCC2,176-49-8,410366,NZSICTQUKULOSA-UHFFFAOYSA-N,1.85
167,CCCc1ccc(-c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1,303186-20-1,20654145,YJUHXJQZJUQYJJ-UHFFFAOYSA-N,1.81
168,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)NC(=O)Nc1cccc(-c2nn3nc(C(C)(C)C)c(Cl)c3[nH]2)c1,NA,101559405,LSVSWZLLNABDHI-UHFFFAOYSA-N,1.81
169,CCCCN(CCCC)c1ccc([N+](=C2C=CC(=[N+](c3ccc(N(CCCC)CCCC)cc3)c3ccc(N(CCCC)CCCC)cc3)C=C2)c2ccc(N(CCCC)CCCC)cc2)cc1,NA,165322,PJAISPWWYPSXQO-UHFFFAOYSA-N,1.8
170,CC(C)CC(C)c1sccc1N,NA,15390172,HEIXUXGCYZHZDM-UHFFFAOYSA-N,1.78
171,CCCCC(CC)C(=O)OCCOc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1,371146-04-2,135753979,VVBVFVRWEMORTQ-UHFFFAOYSA-N,1.77
172,CC(C)(C)c1ccc(O)c([N+](=O)[O-])c1,3279-07-0,18661,IHGNADPMUSNTJW-UHFFFAOYSA-N,1.76
173,CCCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,144429-84-5,11486113,YSLFJMFSTOJEDL-UHFFFAOYSA-N,1.76
174,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,647-42-7,69537,GRJRKPMIRMSBNK-UHFFFAOYSA-N,1.76
175,O=C(O)C1CC2CC1C1C3C=CC(C3)C21,46382-54-1,23377190,KFWJXQDORLWKBB-UHFFFAOYSA-N,1.72
176,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52591-27-2,104247,GYUPEJSTJSFVRR-UHFFFAOYSA-N,1.72
177,CCn1cc[n+](C)c1C,131097-15-9,2734166,IRGDPGYNHSIIJJ-UHFFFAOYSA-N,1.71
178,FP1(F)=NP(F)(F)=NP(F)(Oc2ccccc2)=N1,33027-68-8,23419251,XNZZEQCBAGUFMT-UHFFFAOYSA-N,1.71
